# {"t_start": 1665244641.6242213, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7
-21.54254770870314,100,9.093968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.92181379389455,-9.620733914808588
34.73155253412453,100,11.536896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.04553243900966,17.686020095114873
10.92085162099956,100,13.860033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5219388346526035,5.398912786346957
22.914459310963622,100,16.128544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.824989976132967,9.089469334830655
-23.479476559112175,100,18.630311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.63668778185925,-5.842788777252925
-137.1588741877847,100,21.247303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.67314097100443,-66.48573321678026
-67.1045163138737,100,23.920286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.28656264273515,-34.817953671138554
95.342312833584,100,26.559423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.401671005780045,47.94064182780396
20.98163828931617,100,29.208236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.256485040976175,6.725153248339995
-22.520291484549347,100,31.868298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.874777649395586,-10.645513835153759
-13.117889826774189,100,217.815654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.073447254844801,-4.044442571929388
-51.033229384289044,100,220.210797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.744136576307124,-32.28909280798192
66.27580624741353,100,222.676335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.578922185567865,34.696884061845665
8.071539979801573,100,225.130705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.297539386893733,1.7740005929078402
113.66860790120268,100,227.549268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.03272043440063,58.635887466802046
-21.532056454163257,100,229.989423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.157264565878275,-5.3747918882849826
21.880559889238874,100,232.421402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.525960642952864,7.354599246286012
-10.271838026336795,100,234.854017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0919105558871247,-8.17992747044967
-2.921082035339353,100,237.428724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1886660030234855,0.2675839676841323
-12.197964147544045,100,239.827401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.196418725319342,-4.001545422224704
-50.19997080410123,100,361.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.935943289840107,-29.264027514261116
-118.39014414831007,100,363.896304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.76201866591429,-61.62812548239579
-13.063064602361697,100,366.414446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.330801780390733,-8.732262821970965
-8.156008890182523,100,368.929414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33628121518652204,-7.819727674996001
-65.1117120101488,100,371.414287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.7813919544216,-35.3303200557272
26.133136253035374,100,373.968477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.02333468531915,11.109801567716225
45.31482008713189,100,376.462784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.484617238545987,22.830202848585902
-23.955798092374877,100,378.903334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.921794523351615,-12.034003569023264
21.6403757494248,100,381.410198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.578766354661742,13.061609394763055
-24.67783534288373,100,383.930669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.165268011385574,-16.512567331498154
48.17217292430257,100,507.462996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.311777319426753,23.860395604875823
-134.93733464869712,100,510.077691,0.0,-5.0,0.0,0.0,0.0,-5.0,0.0,-60.98629567420754,-63.95103897448957
-62.5376212600295,100,512.627581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.249961788153318,-31.287659471876186
-76.57114824368057,100,515.140406,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,-31.764627515349975,-24.806520728330586
221.58942943127335,100,517.644886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.50307469666777,111.08635473460558
19.62556990121884,100,520.171571,0.0,-5.0,0.0,-5.0,0.0,0.0,0.0,11.825718794695018,17.79985110652382
-49.21535716799873,100,522.705645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.9706942102085,-24.244662957790236
-93.07594442140294,100,525.189359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.204468815112044,-44.87147560629089
14.068635537674728,100,527.6001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.555339025387391,7.513296512287337
-35.867636326975024,100,529.977851,0.0,-10.0,0.0,0.0,-10.0,0.0,0.0,-9.183186576544312,-6.68444975043071
-5.7215910597434725,100,653.515402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.169553760487662,-1.5520372992558102
-30.385292507001004,100,655.922095,0.0,0.0,-5.0,0.0,-5.0,0.0,0.0,-10.07726222409221,-10.308030282908796
-24.501367439448146,100,658.335672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.979087865614833,-15.52227957383331
90.94241335106203,100,660.636136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.171043039376755,43.771370311685274
-22.09496924366327,100,663.013815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.149605375063354,-13.94536386859992
34.27167781904423,100,665.409687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.491663886672402,17.78001393237183
-39.383436994530925,100,667.96353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.336110648285832,-16.047326346245097
134.3642786219524,100,670.300206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.74175530558574,65.62252331636665
46.1028529996654,100,672.708399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.34458496900277,22.758268030662634
64.0054009431342,100,675.160408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.39190419558447,30.61349674754973
102.02874823071323,100,802.566054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.19114125559029,49.83760697512295
61.62934429494315,100,805.010717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.80309727030961,26.82624702463355
41.85879223620341,100,807.372379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.396235110443072,24.462557125760338
14.903637756611857,100,809.80108,0.0,0.0,0.0,-10.0,0.0,-10.0,0.0,10.560457988024037,24.34317976858782
90.25980744615464,100,812.220155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.38876208620165,45.87104535995298
241.8201186774996,100,814.631187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.26065305640023,123.55946562109938
76.0011567819871,100,817.054738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.18868944096255,38.812467341024565
36.095523064750054,100,819.53997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.885858682896599,21.209664381853454
29.4530207631792,100,822.081199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.711772077737905,14.741248685441295
-42.733128466193165,100,824.65413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.879737404704038,-24.853391061489123
-21.642789282399992,100,953.500142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.759668630364157,-7.883120652035835
-51.411851270094395,100,956.037118,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-14.935025338646346,-16.476825931448047
12.540907548468454,100,958.6895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16665501047142,8.374252537997034
-4.045660191777938,100,961.155132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41828062070450783,-3.6273795710734307
-68.75216059147304,100,963.527832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.78653526960258,-34.96562532187046
-72.31915511585635,100,966.176409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.25947961074306,-38.05967550511329
41.702822386859985,100,968.549848,0.0,-10.0,0.0,-10.0,0.0,0.0,0.0,33.14296728624292,28.559855100617064
-17.45192563314931,100,971.037755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5648687365071945,-11.887056896642113
-36.8986244803056,100,973.443978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.75425360313191,-22.144370877173692
