# {"t_start": 1665243745.444855, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2,r3,r4,r5,r6,r7
32.05095415407335,100,8.647425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.42306114877206,20.627893005301296
22.117352729015757,100,11.802622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.208586900014872,12.908765829000885
15.913396553505766,100,14.926328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1318876064480525,11.781508947057715
-117.08994253700894,100,17.941452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.40432760256283,-61.68561493444611
43.012640203649454,100,20.848677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.953769268401015,22.05887093524844
-43.53545016817088,100,23.943079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.90275388623742,-23.632696281933466
28.014684963619672,100,27.00542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.919761691117332,14.09492327250234
-73.21216004005265,100,29.993391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.02505723269113,-35.18710280736151
-67.32826684914224,100,33.032991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.86334652911448,-34.46492032002776
-35.44683143749423,100,36.117359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.16851735402154,-15.278314083472692
47.39564037712849,100,165.619241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.756165408829915,20.639474968298575
35.90643774461631,100,168.673196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.08896069602515,16.81747704859116
-62.656429457889175,100,171.640074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.42486150404095,-29.231567953848224
177.74651148793959,100,174.705338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.23318775377646,87.51332373416314
9.839554688684615,100,177.726961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8004875142401717,7.039067174444442
-43.22954925552192,100,180.782225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.878302683907656,-17.351246571614258
-85.71291879366444,100,183.905196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.839642097555284,-40.87327669610915
25.859359433696092,100,186.875433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.484877477782304,14.374481955913788
139.89206427031058,100,189.962665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.14699758417471,71.74506668613586
161.5337101463486,100,193.06606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.17115716025084,77.36255298609775
132.20036531651994,100,280.640012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.40085251570811,63.799512800811826
16.771014085274636,100,283.711711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.511301234269219,6.2597128510054185
-79.89974508243508,100,286.749887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.05133130387075,-42.84841377856433
-14.087783000004166,100,289.561289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.972425059870888,-5.115357940133277
-77.57644624991963,100,292.598499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.52161546067817,-36.05483078924145
-12.777992434051999,100,295.490764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.575731180384665,-5.202261253667335
81.76636899961306,100,298.555331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.82789317449115,39.93847582512192
-15.141947798179427,100,301.986524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5164582317076745,-10.625489566471753
7.369980289526516,100,305.666129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.327430508148749,3.042549781377766
-88.45722607417997,100,308.280931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.35281295454617,-41.104413119633804
-9.136099310011744,100,403.581068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7682340201597432,-8.367865289852
7.014298794451776,100,406.140677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.890826504337663,2.1234722901141128
0.3899381267666221,100,408.834716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7809784545864454,1.1709165813530675
-75.8871651247392,100,411.437995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.647545878875306,-39.239619245863885
32.759087851262414,100,414.129111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.700206408827043,14.05888144243537
